Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI
2021-04-01,1.37%,0.16%,5.53%,-0.82%,-4.87%,4.05%,-4.61%,0.54%,-1.72%,1.74%
2021-03-31,4.62%,1.95%,-0.62%,-1.61%,-6.40%,1.38%,-2.45%,-1.26%,-1.55%,0.52%
2021-03-30,3.86%,3.39%,5.18%,13.02%,16.46%,7.75%,3.65%,7.97%,4.19%,8.42%
2021-03-29,-1.31%,-0.20%,-0.79%,-0.37%,-3.75%,-1.62%,-5.87%,-4.22%,-1.23%,-0.38%
2021-03-28,-1.98%,1.39%,-2.08%,-1.76%,19.39%,0.71%,-3.75%,-1.69%,-2.76%,-1.47%
2021-03-27,10.17%,7.14%,7.25%,2.42%,9.92%,7.21%,13.48%,8.34%,9.13%,4.28%
2021-03-26,5.59%,-1.89%,2.95%,4.45%,-5.50%,0.25%,-0.43%,0.18%,-2.49%,2.92%
2021-03-25,-6.75%,-3.74%,-7.32%,-4.07%,-12.11%,-5.14%,-9.12%,-7.49%,-12.28%,-8.25%
2021-03-24,-1.73%,0.45%,-1.86%,-4.97%,21.84%,-0.86%,-5.60%,-3.66%,-5.56%,1.18%
2021-03-23,-8.36%,-5.53%,-6.62%,-5.93%,-9.02%,-5.62%,-7.85%,-7.39%,-0.15%,-5.71%
2021-03-22,-0.65%,-1.17%,-1.22%,-2.20%,-3.53%,-1.06%,-3.05%,-1.29%,2.96%,0.95%
2021-03-21,0.23%,-0.10%,-0.54%,-6.73%,-2.00%,-0.34%,-4.24%,-0.37%,-3.45%,-2.65%
2021-03-20,1.75%,0.82%,1.25%,3.00%,5.59%,1.95%,2.91%,7.10%,10.39%,0.85%
2021-03-19,-5.26%,-2.19%,-5.35%,-1.53%,6.76%,-2.89%,-1.03%,-3.51%,-4.45%,1.32%
2021-03-18,3.34%,3.56%,11.24%,0.72%,-6.46%,1.16%,-1.35%,2.56%,4.57%,0.55%
2021-03-17,1.05%,2.12%,1.83%,0.57%,16.91%,1.04%,5.59%,-0.82%,1.05%,3.95%
2021-03-16,-3.62%,-5.70%,-4.33%,-1.87%,5.40%,-3.37%,-7.71%,-2.92%,-3.24%,-6.16%
2021-03-15,-8.07%,-3.54%,-3.70%,-5.89%,-11.22%,-3.78%,-9.45%,-5.03%,-5.60%,-6.01%
