Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI,
2021-04-29,0.49%,70.27%,2.55%,0.45%,0.32%,22.41%,0.21%,0.28%,2.90%,0.12%,100.00%
2021-04-28,0.51%,70.79%,2.50%,0.45%,0.31%,21.91%,0.21%,0.26%,2.94%,0.12%,100.00%
2021-04-27,0.49%,71.55%,2.55%,0.45%,0.32%,21.29%,0.21%,0.27%,2.74%,0.12%,100.00%
2021-04-26,0.46%,72.12%,2.49%,0.46%,0.29%,20.89%,0.19%,0.26%,2.72%,0.12%,100.00%
2021-04-25,0.44%,72.18%,2.48%,0.43%,0.28%,20.99%,0.19%,0.25%,2.65%,0.11%,100.00%
2021-04-24,0.40%,73.32%,2.46%,0.45%,0.28%,20.17%,0.18%,0.24%,2.38%,0.11%,100.00%
2021-04-23,0.42%,72.39%,2.66%,0.47%,0.30%,20.71%,0.19%,0.25%,2.49%,0.12%,100.00%
2021-04-22,0.44%,72.20%,2.66%,0.40%,0.31%,20.83%,0.20%,0.26%,2.58%,0.13%,100.00%
2021-04-21,0.41%,73.40%,2.65%,0.36%,0.31%,19.86%,0.20%,0.26%,2.44%,0.12%,100.00%
2021-04-20,0.41%,74.39%,2.74%,0.34%,0.32%,18.97%,0.19%,0.26%,2.25%,0.13%,100.00%
2021-04-19,0.40%,75.37%,2.60%,0.35%,0.30%,18.11%,0.19%,0.26%,2.28%,0.13%,100.00%
2021-04-18,0.43%,74.79%,2.79%,0.35%,0.34%,18.40%,0.22%,0.29%,2.26%,0.14%,100.00%
2021-04-17,0.46%,75.08%,2.70%,0.36%,0.38%,18.03%,0.23%,0.31%,2.33%,0.12%,100.00%
2021-04-16,0.46%,74.80%,2.73%,0.37%,0.38%,18.24%,0.23%,0.30%,2.36%,0.13%,100.00%
2021-04-15,0.47%,74.64%,2.71%,0.36%,0.37%,18.38%,0.24%,0.31%,2.39%,0.12%,100.00%
2021-04-14,0.44%,75.34%,2.65%,0.31%,0.30%,18.00%,0.24%,0.29%,2.31%,0.11%,100.00%
2021-04-13,0.41%,76.63%,2.30%,0.31%,0.30%,17.15%,0.22%,0.28%,2.29%,0.11%,100.00%
2021-04-12,0.43%,76.58%,2.27%,0.32%,0.31%,16.93%,0.24%,0.30%,2.52%,0.11%,100.00%
2021-04-11,0.41%,76.96%,2.32%,0.32%,0.31%,17.02%,0.21%,0.29%,2.05%,0.11%,100.00%
2021-04-10,0.41%,77.10%,2.20%,0.31%,0.30%,17.01%,0.21%,0.29%,2.05%,0.11%,100.00%
2021-04-09,0.41%,77.04%,2.24%,0.32%,0.31%,16.94%,0.22%,0.31%,2.10%,0.12%,100.00%
2021-04-08,0.42%,76.80%,2.32%,0.32%,0.32%,17.01%,0.22%,0.32%,2.14%,0.12%,100.00%
2021-04-07,0.41%,77.07%,2.31%,0.33%,0.31%,16.80%,0.22%,0.32%,2.11%,0.12%,100.00%
2021-04-06,0.43%,76.37%,2.44%,0.34%,0.33%,17.19%,0.23%,0.35%,2.21%,0.11%,100.00%
2021-04-05,0.44%,76.85%,2.26%,0.36%,0.34%,16.96%,0.22%,0.32%,2.15%,0.10%,100.00%
2021-04-04,0.46%,76.86%,2.17%,0.39%,0.32%,16.95%,0.23%,0.33%,2.20%,0.10%,100.00%
2021-04-03,0.44%,77.14%,2.14%,0.35%,0.31%,16.84%,0.23%,0.31%,2.15%,0.10%,100.00%
2021-04-02,0.47%,76.71%,2.25%,0.34%,0.34%,17.13%,0.24%,0.33%,2.09%,0.10%,100.00%
2021-04-01,0.44%,77.96%,2.14%,0.32%,0.35%,16.13%,0.22%,0.30%,2.04%,0.10%,100.00%
2021-03-31,0.44%,78.47%,2.08%,0.28%,0.33%,15.80%,0.22%,0.28%,2.01%,0.09%,100.00%
2021-03-30,0.43%,78.97%,2.00%,0.29%,0.35%,15.29%,0.23%,0.28%,2.06%,0.09%,100.00%
2021-03-29,0.42%,78.80%,2.05%,0.30%,0.38%,15.30%,0.24%,0.29%,2.12%,0.10%,100.00%
2021-03-28,0.42%,79.37%,2.03%,0.28%,0.34%,14.82%,0.24%,0.28%,2.12%,0.09%,100.00%
2021-03-27,0.42%,79.16%,2.04%,0.27%,0.34%,14.99%,0.26%,0.29%,2.14%,0.09%,100.00%
2021-03-26,0.44%,78.92%,2.11%,0.28%,0.30%,15.07%,0.27%,0.30%,2.22%,0.09%,100.00%
2021-03-25,0.43%,79.03%,2.11%,0.30%,0.29%,15.04%,0.25%,0.29%,2.18%,0.10%,100.00%
2021-03-24,0.40%,79.38%,2.02%,0.28%,0.30%,14.78%,0.25%,0.29%,2.22%,0.09%,100.00%
2021-03-23,0.41%,78.91%,2.09%,0.28%,0.33%,14.92%,0.26%,0.30%,2.40%,0.10%,100.00%
