Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI,DAI
2021-04-30,438.7966885,53590.12289,36.47637975,643.5670551,3.021707496,2759.338308,14.04453767,17.69365178,41.08275024,46846.78233,1.001159777
2021-04-29,461.2954254,54886.01541,36.27720572,647.8069543,3.044834826,2751.048164,14.30127274,16.85019333,42.9034,48132.68845,1.001226811
2021-04-28,441.1994075,55161.22776,37.17379045,659.1007877,3.128503472,2669.120881,14.28385712,17.14843816,39.69509016,48749.17551,1.001263457
2021-04-27,405.4885252,54032.89404,35.13123024,645.1616303,2.78093553,2538.138186,12.13897342,16.12890654,38.20622592,45368.49355,1.001299498
2021-04-26,349.1653263,49148.73631,31.68586524,554.1720471,2.383903611,2325.111486,10.97563229,14.13216765,34.409,39930.55858,1.00124
2021-04-25,317.9331017,50115.23321,31.31802437,568.8738961,2.372790233,2214.832404,10.71035926,13.80297811,30.25577558,39262.73656,1.000627314
2021-04-24,344.3488593,51275.60835,35.28122746,624.2122805,2.647899209,2370.828595,11.84605051,14.93480647,32.98384452,43420.42189,1.000843518
2021-04-23,360.6866652,51730.37363,35.19200976,527.24,2.766125047,2401.058238,12.3342606,15.3019296,33.9755087,45406.71945,1
2021-04-22,350.557978,54058.69201,36.35872569,492.81,2.900717323,2365.147,12.48276174,15.90486248,33.57912274,45531.38191,1.0044558
2021-04-21,360.811207,56574.86619,39.02383034,490.7337516,3.028099932,2333.887757,12.73602182,16.84427381,32.01558725,48967.18652,0.9914001
2021-04-20,345.2485141,55738.96576,35.85324589,478.5252484,2.827535474,2166.104155,12.20584542,16.07518985,31.44898124,46923.88772,0.9774542522
2021-04-19,381.9761161,56368.3,39.3707592,489.5519031,3.251352034,2240.972464,14.048,18.089,31.714,53512.6286,0.9995
2021-04-18,426.7153152,60100.69316,39.99032001,536.9218707,3.796548468,2320.800511,15.8938333,20.27967586,34.81187063,48832.04645,1.0026615
2021-04-17,442.4375748,61454.65998,42.04519535,564.6135755,3.93010035,2427.410716,16.32119,20.94410365,36.233,53498,0.9999322508
2021-04-16,467.77,63288.07771,42.74300475,562.98123,4.049691433,2519.5891,17.6915,22.12570274,37.80567732,50466.70019,0.9950834499
